기관코드,전체기관명,최하위기관명,폐지구분,등록자
7530823,경기도교육청 동백고등학교,동백고등학교,현존,
7530824,경기도교육청 대지고등학교,대지고등학교,현존,
7530825,경기도교육청 봉일천고등학교,봉일천고등학교,현존,
7530835,경기도교육청 평택안일물류고등학교,평택안일물류고등학교,현존,
7530836,경기도교육청 점동고등학교,점동고등학교,현존,
7530837,경기도교육청 정명정보고등학교,정명정보고등학교,현존,
7530838,경기도교육청 광탄고등학교,광탄고등학교,현존,
7530840,경기도교육청 일죽고등학교,일죽고등학교,현존,
7530841,경기도교육청 죽산고등학교,죽산고등학교,현존,
7530842,경기도교육청 부원고등학교,부원고등학교,현존,
7530844,경기도교육청 망포고등학교,망포고등학교,현존,
7530845,경기도교육청 매원고등학교,매원고등학교,현존,
7530846,경기도교육청 수주고등학교,수주고등학교,현존,
7530847,경기도교육청 반송고등학교,반송고등학교,현존,
7530848,경기도교육청 봉담고등학교,봉담고등학교,현존,
7530849,경기도교육청 예당고등학교,예당고등학교,현존,
7530851,경기도교육청 경기북과학고등학교,경기북과학고등학교,현존,
7530852,경기도교육청 일산고등학교,일산고등학교,현존,
7530854,경기도교육청 가좌고등학교,가좌고등학교,현존,
7530855,경기도교육청 안곡고등학교,안곡고등학교,현존,
7530856,경기도교육청 풍동고등학교,풍동고등학교,현존,
7530857,경기도교육청 도농고등학교,도농고등학교,현존,
7530858,경기도교육청 와부고등학교,와부고등학교,현존,
7530859,경기도교육청 호원고등학교부설방송통신고등학교,호원고등학교부설방송통신고등학교,현존,
7530867,경기도교육청 여주자영농업고등학교부설농업경영전문학교,여주자영농업고등학교부설농업경영전문학교,현존,
7530868,경기도교육청 안산정보산업고등학교(2년제),안산정보산업고등학교(2년제),현존,
7530869,경기도교육청 계명고등학교(2년제),계명고등학교(2년제),현존,
7530870,경기도교육청 안양상업고등학교(2년제),안양상업고등학교(2년제),현존,
7530871,경기도교육청 진영정보공업고등학교(2년제),진영정보공업고등학교(2년제),현존,
7530878,경기도교육청 고색고등학교,고색고등학교,현존,
7530879,경기도교육청 향남고등학교,향남고등학교,현존,
7530880,경기도교육청 나루고등학교,나루고등학교,현존,
7530881,경기도교육청 포곡고등학교,포곡고등학교,현존,
7530882,경기도교육청 보라고등학교,보라고등학교,현존,
7530883,경기도교육청 초당고등학교,초당고등학교,현존,
7530884,경기도교육청 청덕고등학교,청덕고등학교,현존,
7530885,경기도교육청 광남고등학교,광남고등학교,현존,
7530886,경기도교육청 신길고등학교,신길고등학교,현존,
7530887,경기도교육청 선부고등학교,선부고등학교,현존,
7530888,경기도교육청 매화고등학교,매화고등학교,현존,
7530889,경기도교육청 의왕고등학교,의왕고등학교,현존,
7530890,경기도교육청 장기고등학교,장기고등학교,현존,
7530891,경기도교육청 이충고등학교,이충고등학교,현존,
7530892,경기도교육청 고양일고등학교,고양일고등학교,현존,
7530893,경기도교육청 오남고등학교,오남고등학교,현존,
7530894,경기도교육청 시흥능곡고등학교,시흥능곡고등학교,현존,
7530898,경기도교육청 시흥매화고등학교,시흥매화고등학교,현존,
7530899,경기도교육청 수원정보과학고등학교,수원정보과학고등학교,현존,
7530900,경기도교육청 수원하이텍고등학교,수원하이텍고등학교,현존,
7530901,경기도교육청 성남방송고등학교,성남방송고등학교,현존,
7530902,경기도교육청 군포e비즈니스고등학교,군포e비즈니스고등학교,현존,
7530903,경기도교육청 경기모바일과학고등학교,경기모바일과학고등학교,현존,
7530904,경기도교육청 발안바이오과학고등학교,발안바이오과학고등학교,현존,
7530905,경기도교육청 용인바이오고등학교,용인바이오고등학교,현존,
7530907,경기도교육청 가온고등학교,가온고등학교,현존,
7530908,경기도교육청 경기자동차과학고등학교,경기자동차과학고등학교,현존,
7530909,경기도교육청 경기외국어고등학교,경기외국어고등학교,현존,
7530910,경기도교육청 영북고등학교,영북고등학교,현존,
7530911,경기도교육청 경민여자정보고등학교,경민여자정보고등학교,현존,
7530912,경기도교육청 한국문화영상고등학교,한국문화영상고등학교,현존,
7530921,경기도교육청 보평고등학교,보평고등학교,현존,
7530922,경기도교육청 기산고등학교,기산고등학교,현존,
7530924,경기도교육청 흥덕고등학교,흥덕고등학교,현존,
7530925,경기도교육청 의석고등학교,의석고등학교,현존,
7530926,경기도교육청 하산고등학교,하산고등학교,현존,
7530927,경기도교육청 석운고등학교,석운고등학교,현존,
7530929,경기도교육청 신천고등학교,신천고등학교,현존,
7530930,경기도교육청 마송고등학교,마송고등학교,현존,
7530931,경기도교육청 공도고등학교,공도고등학교,현존,
7530932,경기도교육청 진접고등학교,진접고등학교,현존,
7530933,경기도교육청 발곡고등학교,발곡고등학교,현존,
7530934,경기도교육청 광덕고등학교,광덕고등학교,현존,
7530936,경기도교육청 세마고등학교,세마고등학교,현존,
7530937,경기도교육청 경기창조고등학교,경기창조고등학교,현존,
7530938,경기도교육청 금암고등학교,금암고등학교,현존,
7530939,경기도교육청 화랑고등학교,화랑고등학교,현존,
7530940,경기도교육청 복정고등학교,복정고등학교,현존,
7530941,경기도교육청 운중고등학교,운중고등학교,현존,
7530942,경기도교육청 능동고등학교,능동고등학교,현존,
7530943,경기도교육청 경기영상과학고등학교,경기영상과학고등학교,현존,
